commodity,mes,preco_medio,preco_min,preco_max,volume_total
acucar,2024-03-01,22.16,21.85,22.52,291982.0
acucar,2024-04-01,20.65,19.32,22.72,1182024.0
acucar,2024-05-01,18.82,18.13,19.95,1102571.0
acucar,2024-06-01,19.18,18.63,20.31,1440465.0
acucar,2024-07-01,19.3,17.91,20.61,1220405.0
acucar,2024-08-01,18.42,17.57,19.89,1199692.0
acucar,2024-09-01,20.69,18.47,23.42,1308269.0
acucar,2024-10-01,22.36,21.73,23.24,1105713.0
acucar,2024-11-01,21.65,21.08,22.2,1033006.0
acucar,2024-12-01,20.35,19.13,21.81,1054974.0
acucar,2025-01-01,18.95,17.79,19.73,1308303.0
acucar,2025-02-01,20.17,19.26,21.46,1090584.0
acucar,2025-03-01,19.06,18.1,20.0,1155858.0
acucar,2025-04-01,18.18,17.46,19.59,1220206.0
acucar,2025-05-01,17.44,16.9,18.22,1021308.0
acucar,2025-06-01,16.24,15.48,16.9,1382726.0
acucar,2025-07-01,16.36,15.58,16.82,1029830.0
acucar,2025-08-01,16.39,16.01,16.94,1050407.0
acucar,2025-09-01,15.76,15.25,16.15,1447166.0
acucar,2025-10-01,15.56,14.28,16.81,1348002.0
acucar,2025-11-01,14.6,14.1,15.21,994315.0
acucar,2025-12-01,14.92,14.48,15.29,1001191.0
acucar,2026-01-01,14.77,14.27,14.98,1268563.0
acucar,2026-02-01,14.22,13.75,14.63,1646245.0
acucar,2026-03-01,14.39,13.72,15.63,1466505.0
algodao,2024-03-01,91.89,90.77,93.41,108179.0
algodao,2024-04-01,83.05,77.92,92.76,335082.0
algodao,2024-05-01,77.68,74.63,82.43,371886.0
algodao,2024-06-01,71.97,68.19,75.44,243194.0
algodao,2024-07-01,68.76,66.07,71.37,677.0
algodao,2024-08-01,68.05,65.79,71.29,480.0
algodao,2024-09-01,70.88,67.12,74.02,280.0
algodao,2024-10-01,71.65,69.57,73.29,330093.0
algodao,2024-11-01,70.03,66.62,73.57,354712.0
algodao,2024-12-01,69.76,67.91,72.69,260910.0
algodao,2025-01-01,67.49,65.88,68.68,437670.0
algodao,2025-02-01,66.25,63.88,67.51,374296.0
algodao,2025-03-01,65.63,62.04,67.37,343149.0
algodao,2025-04-01,66.2,63.36,68.75,478241.0
algodao,2025-05-01,66.71,64.84,71.94,337420.0
algodao,2025-06-01,65.61,63.96,67.52,327961.0
algodao,2025-07-01,66.35,64.68,67.4,746.0
algodao,2025-08-01,65.78,64.42,67.07,1893.0
algodao,2025-09-01,64.69,63.05,66.39,753.0
algodao,2025-10-01,63.8,62.02,66.01,414245.0
algodao,2025-11-01,63.21,61.35,65.68,379971.0
algodao,2025-12-01,63.52,61.88,64.49,276549.0
algodao,2026-01-01,64.26,62.97,65.06,574139.0
algodao,2026-02-01,62.42,61.06,64.17,441896.0
algodao,2026-03-01,65.24,62.04,68.77,395142.0
boi_gordo,2024-03-01,185.63,183.1,188.38,106581.0
boi_gordo,2024-04-01,181.57,178.25,185.4,143632.0
boi_gordo,2024-05-01,179.56,173.85,184.55,476022.0
boi_gordo,2024-06-01,186.33,181.78,194.18,99410.0
boi_gordo,2024-07-01,184.82,182.13,188.9,521849.0
boi_gordo,2024-08-01,183.33,181.03,185.85,84964.0
boi_gordo,2024-09-01,179.74,175.18,184.1,382091.0
boi_gordo,2024-10-01,188.07,184.48,193.0,105766.0
boi_gordo,2024-11-01,185.37,182.95,188.0,442717.0
boi_gordo,2024-12-01,190.84,186.98,194.08,103728.0
boi_gordo,2025-01-01,199.45,193.6,208.55,570139.0
boi_gordo,2025-02-01,199.63,197.45,203.6,110909.0
boi_gordo,2025-03-01,203.09,192.25,209.55,545390.0
boi_gordo,2025-04-01,208.06,198.93,216.35,140184.0
boi_gordo,2025-05-01,213.9,209.65,216.83,556221.0
boi_gordo,2025-06-01,223.54,215.98,228.2,130575.0
boi_gordo,2025-07-01,222.51,210.75,233.08,629769.0
boi_gordo,2025-08-01,236.76,230.13,243.25,62447.0
boi_gordo,2025-09-01,233.77,229.98,239.53,566923.0
boi_gordo,2025-10-01,236.15,227.5,243.95,138291.0
boi_gordo,2025-11-01,219.34,207.0,232.2,539471.0
boi_gordo,2025-12-01,227.39,214.2,232.0,124166.0
boi_gordo,2026-01-01,235.02,232.15,237.25,414564.0
boi_gordo,2026-02-01,242.71,235.25,247.5,133737.0
boi_gordo,2026-03-01,233.61,230.15,238.53,442255.0
cacau,2024-03-01,9396.33,8559.0,9843.0,124880.0
cacau,2024-04-01,10459.95,9462.0,11878.0,183434.0
cacau,2024-05-01,8610.77,7216.0,9874.0,126824.0
cacau,2024-06-01,9307.53,7397.0,10810.0,114032.0
cacau,2024-07-01,8024.32,7352.0,8523.0,115163.0
cacau,2024-08-01,8955.82,7520.0,9880.0,123570.0
cacau,2024-09-01,8697.0,7620.0,10115.0,114621.0
cacau,2024-10-01,7273.57,6756.0,7942.0,218444.0
cacau,2024-11-01,8128.3,6924.0,9220.0,77288.0
cacau,2024-12-01,10832.81,8833.0,12565.0,127184.0
cacau,2025-01-01,11159.57,10453.0,11745.0,158809.0
cacau,2025-02-01,9827.95,8352.0,11002.0,74684.0
cacau,2025-03-01,8030.38,7728.0,8279.0,80963.0
cacau,2025-04-01,8679.48,7755.0,9652.0,108636.0
cacau,2025-05-01,9798.29,8758.0,10974.0,105992.0
cacau,2025-06-01,9612.7,8459.0,10259.0,90092.0
cacau,2025-07-01,8491.87,7309.0,9046.0,115902.0
cacau,2025-08-01,8108.48,7435.0,8793.0,94927.0
cacau,2025-09-01,7207.38,6749.0,7539.0,105524.0
cacau,2025-10-01,6096.74,5809.0,6675.0,222082.0
cacau,2025-11-01,5591.05,4943.0,6600.0,115781.0
cacau,2025-12-01,5872.95,5401.0,6242.0,111406.0
cacau,2026-01-01,5003.85,4150.0,6077.0,358203.0
cacau,2026-02-01,3540.63,2798.0,4300.0,169377.0
cacau,2026-03-01,3202.67,2925.0,3529.0,71263.0
cafe,2024-03-01,187.29,184.85,190.65,138827.0
cafe,2024-04-01,222.53,191.8,247.95,393152.0
cafe,2024-05-01,211.38,199.0,233.0,217605.0
cafe,2024-06-01,227.94,220.55,238.0,294162.0
cafe,2024-07-01,237.74,225.95,252.0,173989.0
cafe,2024-08-01,243.51,225.7,260.45,306065.0
cafe,2024-09-01,257.67,240.05,273.9,157942.0
cafe,2024-10-01,252.72,244.65,264.15,384547.0
cafe,2024-11-01,279.09,242.95,326.15,286816.0
cafe,2024-12-01,322.1,297.7,335.65,100705.0
cafe,2025-01-01,336.33,316.45,377.85,354317.0
cafe,2025-02-01,402.5,378.75,438.9,248101.0
cafe,2025-03-01,391.71,378.8,415.5,130814.0
cafe,2025-04-01,378.15,341.7,421.55,237132.0
cafe,2025-05-01,377.46,342.45,401.1,99399.0
cafe,2025-06-01,335.91,306.75,361.55,183320.0
cafe,2025-07-01,297.47,280.05,314.55,108536.0
cafe,2025-08-01,341.62,284.2,396.85,186586.0
cafe,2025-09-01,386.6,350.15,432.35,156337.0
cafe,2025-10-01,392.27,373.05,420.85,303595.0
cafe,2025-11-01,407.77,396.75,422.7,177720.0
cafe,2025-12-01,376.3,340.65,411.95,86651.0
cafe,2026-01-01,356.33,332.25,375.45,328915.0
cafe,2026-02-01,296.24,281.15,333.25,216136.0
cafe,2026-03-01,294.64,276.2,306.2,42333.0
milho,2024-03-01,436.5,426.75,442.0,1090879.0
milho,2024-04-01,434.63,426.5,443.0,3816070.0
milho,2024-05-01,454.66,442.75,464.75,2498977.0
milho,2024-06-01,439.39,397.25,458.5,3977866.0
milho,2024-07-01,398.26,382.75,411.25,1971677.0
milho,2024-08-01,376.67,362.0,390.75,3012580.0
milho,2024-09-01,400.6,379.5,424.75,2283364.0
milho,2024-10-01,416.12,401.25,432.5,5159302.0
milho,2024-11-01,424.24,414.5,431.0,4340008.0
milho,2024-12-01,439.46,422.0,458.5,2009562.0
milho,2025-01-01,475.33,450.75,497.0,5282119.0
milho,2025-02-01,487.49,453.5,502.0,4037093.0
milho,2025-03-01,453.96,436.0,469.0,2283975.0
milho,2025-04-01,473.31,457.5,490.25,3721609.0
milho,2025-05-01,449.27,436.0,464.25,2133765.0
milho,2025-06-01,430.58,409.5,444.5,3325930.0
milho,2025-07-01,406.08,389.25,431.5,1869034.0
milho,2025-08-01,383.57,371.5,398.0,2738500.0
milho,2025-09-01,413.49,397.25,429.5,2336612.0
milho,2025-10-01,422.2,410.75,434.0,5133237.0
milho,2025-11-01,431.24,423.5,441.5,3917902.0
milho,2025-12-01,439.94,431.5,451.0,1879512.0
milho,2026-01-01,430.83,419.75,446.75,4154358.0
milho,2026-02-01,429.54,425.75,438.75,3708623.0
milho,2026-03-01,447.53,431.75,469.75,1223233.0
soja,2024-03-01,1199.46,1191.5,1212.0,762479.0
soja,2024-04-01,1164.61,1134.25,1185.75,2710137.0
soja,2024-05-01,1216.51,1155.75,1248.0,1624194.0
soja,2024-06-01,1172.86,1150.5,1200.0,2322576.0
soja,2024-07-01,1116.16,1027.25,1188.5,507960.0
soja,2024-08-01,984.74,938.75,1044.25,183300.0
soja,2024-09-01,1014.21,977.5,1065.75,1871000.0
soja,2024-10-01,1002.87,965.25,1057.25,3768205.0
soja,2024-11-01,995.08,977.75,1016.75,1334761.0
soja,2024-12-01,983.5,951.75,998.25,2425137.0
soja,2025-01-01,1029.51,981.0,1067.25,2145986.0
soja,2025-02-01,1040.07,1011.5,1075.0,2333524.0
soja,2025-03-01,1005.19,984.0,1023.0,1314082.0
soja,2025-04-01,1028.61,977.0,1053.0,2788571.0
soja,2025-05-01,1051.11,1030.5,1067.5,1342001.0
soja,2025-06-01,1049.83,1022.75,1074.75,2149223.0
soja,2025-07-01,1009.32,961.75,1056.25,602058.0
soja,2025-08-01,1005.79,961.5,1036.75,250663.0
soja,2025-09-01,1019.11,1001.75,1049.75,1797687.0
soja,2025-10-01,1034.98,1006.5,1099.75,3601201.0
soja,2025-11-01,1123.55,1091.75,1157.25,1379498.0
soja,2025-12-01,1076.5,1030.5,1128.0,2509349.0
soja,2026-01-01,1052.71,1023.25,1075.0,1464685.0
soja,2026-02-01,1123.49,1060.25,1157.25,2838789.0
soja,2026-03-01,1173.67,1150.0,1213.0,959275.0
trigo,2024-03-01,551.29,543.5,560.25,317943.0
trigo,2024-04-01,564.89,536.75,603.25,1101393.0
trigo,2024-05-01,656.68,581.5,700.25,978634.0
trigo,2024-06-01,599.21,541.25,672.75,1323754.0
trigo,2024-07-01,543.74,523.5,572.25,798597.0
trigo,2024-08-01,527.41,498.0,543.25,1138868.0
trigo,2024-09-01,570.29,552.0,589.25,719482.0
trigo,2024-10-01,585.16,558.75,615.25,1568845.0
trigo,2024-11-01,551.99,530.25,573.25,1285092.0
trigo,2024-12-01,540.87,526.5,551.5,630656.0
