data_ref,commodity,ticker,preco_raw,volume,fonte,data_coleta
2024-03-21,soja,ZS=F,1212.0,150049,Yahoo Finance / CBOT,2026-03-21
2024-03-22,soja,ZS=F,1192.5,121895,Yahoo Finance / CBOT,2026-03-21
2024-03-25,soja,ZS=F,1209.25,106767,Yahoo Finance / CBOT,2026-03-21
2024-03-26,soja,ZS=F,1199.0,119009,Yahoo Finance / CBOT,2026-03-21
2024-03-27,soja,ZS=F,1192.5,104399,Yahoo Finance / CBOT,2026-03-21
2024-03-28,soja,ZS=F,1191.5,160360,Yahoo Finance / CBOT,2026-03-21
2024-04-01,soja,ZS=F,1185.75,104397,Yahoo Finance / CBOT,2026-03-21
2024-04-02,soja,ZS=F,1174.0,173481,Yahoo Finance / CBOT,2026-03-21
2024-04-03,soja,ZS=F,1182.25,160346,Yahoo Finance / CBOT,2026-03-21
2024-04-04,soja,ZS=F,1180.0,119935,Yahoo Finance / CBOT,2026-03-21
2024-04-05,soja,ZS=F,1185.0,162613,Yahoo Finance / CBOT,2026-03-21
2024-04-08,soja,ZS=F,1181.5,159389,Yahoo Finance / CBOT,2026-03-21
2024-04-09,soja,ZS=F,1174.5,167029,Yahoo Finance / CBOT,2026-03-21
2024-04-10,soja,ZS=F,1164.75,156535,Yahoo Finance / CBOT,2026-03-21
2024-04-11,soja,ZS=F,1159.25,163734,Yahoo Finance / CBOT,2026-03-21
2024-04-12,soja,ZS=F,1174.0,160130,Yahoo Finance / CBOT,2026-03-21
2024-04-15,soja,ZS=F,1158.25,134465,Yahoo Finance / CBOT,2026-03-21
2024-04-16,soja,ZS=F,1145.0,148376,Yahoo Finance / CBOT,2026-03-21
2024-04-17,soja,ZS=F,1149.5,104230,Yahoo Finance / CBOT,2026-03-21
2024-04-18,soja,ZS=F,1134.25,109349,Yahoo Finance / CBOT,2026-03-21
2024-04-19,soja,ZS=F,1150.5,124590,Yahoo Finance / CBOT,2026-03-21
2024-04-22,soja,ZS=F,1161.0,107395,Yahoo Finance / CBOT,2026-03-21
2024-04-23,soja,ZS=F,1167.5,112266,Yahoo Finance / CBOT,2026-03-21
2024-04-24,soja,ZS=F,1166.0,92302,Yahoo Finance / CBOT,2026-03-21
2024-04-25,soja,ZS=F,1162.75,106684,Yahoo Finance / CBOT,2026-03-21
2024-04-26,soja,ZS=F,1159.5,78879,Yahoo Finance / CBOT,2026-03-21
2024-04-29,soja,ZS=F,1160.75,58269,Yahoo Finance / CBOT,2026-03-21
2024-04-30,soja,ZS=F,1145.5,5743,Yahoo Finance / CBOT,2026-03-21
2024-05-01,soja,ZS=F,1155.75,3404,Yahoo Finance / CBOT,2026-03-21
2024-05-02,soja,ZS=F,1190.0,2408,Yahoo Finance / CBOT,2026-03-21
2024-05-03,soja,ZS=F,1201.75,711,Yahoo Finance / CBOT,2026-03-21
2024-05-06,soja,ZS=F,1234.75,486,Yahoo Finance / CBOT,2026-03-21
2024-05-07,soja,ZS=F,1232.25,51,Yahoo Finance / CBOT,2026-03-21
2024-05-08,soja,ZS=F,1212.75,87,Yahoo Finance / CBOT,2026-03-21
2024-05-09,soja,ZS=F,1192.75,66,Yahoo Finance / CBOT,2026-03-21
2024-05-10,soja,ZS=F,1205.0,82,Yahoo Finance / CBOT,2026-03-21
2024-05-13,soja,ZS=F,1205.5,6,Yahoo Finance / CBOT,2026-03-21
2024-05-14,soja,ZS=F,1199.0,115517,Yahoo Finance / CBOT,2026-03-21
2024-05-15,soja,ZS=F,1213.5,124938,Yahoo Finance / CBOT,2026-03-21
2024-05-16,soja,ZS=F,1216.25,99241,Yahoo Finance / CBOT,2026-03-21
2024-05-17,soja,ZS=F,1228.0,133101,Yahoo Finance / CBOT,2026-03-21
2024-05-20,soja,ZS=F,1248.0,171388,Yahoo Finance / CBOT,2026-03-21
2024-05-21,soja,ZS=F,1236.25,126275,Yahoo Finance / CBOT,2026-03-21
2024-05-22,soja,ZS=F,1246.25,125072,Yahoo Finance / CBOT,2026-03-21
2024-05-23,soja,ZS=F,1239.25,136099,Yahoo Finance / CBOT,2026-03-21
2024-05-24,soja,ZS=F,1248.0,107257,Yahoo Finance / CBOT,2026-03-21
2024-05-28,soja,ZS=F,1229.5,140138,Yahoo Finance / CBOT,2026-03-21
2024-05-29,soja,ZS=F,1214.0,123723,Yahoo Finance / CBOT,2026-03-21
2024-05-30,soja,ZS=F,1209.75,107751,Yahoo Finance / CBOT,2026-03-21
2024-05-31,soja,ZS=F,1205.0,106393,Yahoo Finance / CBOT,2026-03-21
2024-06-03,soja,ZS=F,1184.5,119994,Yahoo Finance / CBOT,2026-03-21
2024-06-04,soja,ZS=F,1179.0,145530,Yahoo Finance / CBOT,2026-03-21
2024-06-05,soja,ZS=F,1177.25,154196,Yahoo Finance / CBOT,2026-03-21
2024-06-06,soja,ZS=F,1200.0,162161,Yahoo Finance / CBOT,2026-03-21
2024-06-07,soja,ZS=F,1179.25,175688,Yahoo Finance / CBOT,2026-03-21
2024-06-10,soja,ZS=F,1188.25,139377,Yahoo Finance / CBOT,2026-03-21
2024-06-11,soja,ZS=F,1178.0,160774,Yahoo Finance / CBOT,2026-03-21
2024-06-12,soja,ZS=F,1177.25,161099,Yahoo Finance / CBOT,2026-03-21
2024-06-13,soja,ZS=F,1189.5,149824,Yahoo Finance / CBOT,2026-03-21
2024-06-14,soja,ZS=F,1179.75,132144,Yahoo Finance / CBOT,2026-03-21
2024-06-17,soja,ZS=F,1157.75,138815,Yahoo Finance / CBOT,2026-03-21
2024-06-18,soja,ZS=F,1174.0,148950,Yahoo Finance / CBOT,2026-03-21
2024-06-20,soja,ZS=F,1155.25,146080,Yahoo Finance / CBOT,2026-03-21
2024-06-21,soja,ZS=F,1160.5,111374,Yahoo Finance / CBOT,2026-03-21
2024-06-24,soja,ZS=F,1175.25,88889,Yahoo Finance / CBOT,2026-03-21
2024-06-25,soja,ZS=F,1163.25,83116,Yahoo Finance / CBOT,2026-03-21
2024-06-26,soja,ZS=F,1162.75,67870,Yahoo Finance / CBOT,2026-03-21
2024-06-27,soja,ZS=F,1152.25,32512,Yahoo Finance / CBOT,2026-03-21
2024-06-28,soja,ZS=F,1150.5,4183,Yahoo Finance / CBOT,2026-03-21
2024-07-01,soja,ZS=F,1159.5,1313,Yahoo Finance / CBOT,2026-03-21
2024-07-02,soja,ZS=F,1165.0,1375,Yahoo Finance / CBOT,2026-03-21
2024-07-03,soja,ZS=F,1176.5,924,Yahoo Finance / CBOT,2026-03-21
2024-07-05,soja,ZS=F,1188.5,812,Yahoo Finance / CBOT,2026-03-21
2024-07-08,soja,ZS=F,1174.25,985,Yahoo Finance / CBOT,2026-03-21
2024-07-09,soja,ZS=F,1161.5,839,Yahoo Finance / CBOT,2026-03-21
2024-07-10,soja,ZS=F,1141.25,698,Yahoo Finance / CBOT,2026-03-21
2024-07-11,soja,ZS=F,1142.75,108,Yahoo Finance / CBOT,2026-03-21
2024-07-12,soja,ZS=F,1134.5,41399,Yahoo Finance / CBOT,2026-03-21
2024-07-15,soja,ZS=F,1078.0,35655,Yahoo Finance / CBOT,2026-03-21
2024-07-16,soja,ZS=F,1090.5,37408,Yahoo Finance / CBOT,2026-03-21
2024-07-17,soja,ZS=F,1097.25,41677,Yahoo Finance / CBOT,2026-03-21
2024-07-18,soja,ZS=F,1098.5,35569,Yahoo Finance / CBOT,2026-03-21
2024-07-19,soja,ZS=F,1097.25,25658,Yahoo Finance / CBOT,2026-03-21
2024-07-22,soja,ZS=F,1117.75,40798,Yahoo Finance / CBOT,2026-03-21
2024-07-23,soja,ZS=F,1117.5,51623,Yahoo Finance / CBOT,2026-03-21
2024-07-24,soja,ZS=F,1111.0,34547,Yahoo Finance / CBOT,2026-03-21
2024-07-25,soja,ZS=F,1116.0,38157,Yahoo Finance / CBOT,2026-03-21
2024-07-26,soja,ZS=F,1077.5,61437,Yahoo Finance / CBOT,2026-03-21
2024-07-29,soja,ZS=F,1054.75,37618,Yahoo Finance / CBOT,2026-03-21
2024-07-30,soja,ZS=F,1027.25,16709,Yahoo Finance / CBOT,2026-03-21
2024-07-31,soja,ZS=F,1028.5,2651,Yahoo Finance / CBOT,2026-03-21
2024-08-01,soja,ZS=F,1022.0,1384,Yahoo Finance / CBOT,2026-03-21
2024-08-02,soja,ZS=F,1029.25,633,Yahoo Finance / CBOT,2026-03-21
2024-08-05,soja,ZS=F,1044.25,64,Yahoo Finance / CBOT,2026-03-21
2024-08-06,soja,ZS=F,1028.5,694,Yahoo Finance / CBOT,2026-03-21
2024-08-07,soja,ZS=F,1020.25,195,Yahoo Finance / CBOT,2026-03-21
2024-08-08,soja,ZS=F,1009.75,172,Yahoo Finance / CBOT,2026-03-21
2024-08-09,soja,ZS=F,1028.0,24,Yahoo Finance / CBOT,2026-03-21
2024-08-12,soja,ZS=F,1012.0,12,Yahoo Finance / CBOT,2026-03-21
2024-08-13,soja,ZS=F,989.0,19,Yahoo Finance / CBOT,2026-03-21
2024-08-14,soja,ZS=F,979.75,15972,Yahoo Finance / CBOT,2026-03-21
2024-08-15,soja,ZS=F,951.5,15039,Yahoo Finance / CBOT,2026-03-21
2024-08-16,soja,ZS=F,938.75,17420,Yahoo Finance / CBOT,2026-03-21
2024-08-19,soja,ZS=F,956.25,15833,Yahoo Finance / CBOT,2026-03-21
2024-08-20,soja,ZS=F,957.25,13630,Yahoo Finance / CBOT,2026-03-21
2024-08-21,soja,ZS=F,963.0,12788,Yahoo Finance / CBOT,2026-03-21
2024-08-22,soja,ZS=F,941.25,17660,Yahoo Finance / CBOT,2026-03-21
2024-08-23,soja,ZS=F,952.0,16814,Yahoo Finance / CBOT,2026-03-21
2024-08-26,soja,ZS=F,959.75,18427,Yahoo Finance / CBOT,2026-03-21
2024-08-27,soja,ZS=F,967.5,13636,Yahoo Finance / CBOT,2026-03-21
2024-08-28,soja,ZS=F,958.5,10273,Yahoo Finance / CBOT,2026-03-21
2024-08-29,soja,ZS=F,973.75,10556,Yahoo Finance / CBOT,2026-03-21
